aX,aY,aZ,gX,gY,gZ
-0.438,1.260,-0.504,55.664,39.612,-72.876
0.043,0.611,0.306,28.442,115.845,-241.333
0.093,0.575,0.271,13.977,112.000,-234.680
0.132,0.540,0.246,7.507,104.370,-227.539
0.191,0.485,0.220,7.446,97.656,-220.825
0.265,0.428,0.196,11.353,94.238,-214.905
0.329,0.394,0.183,13.733,93.567,-208.313
0.357,0.378,0.176,11.658,95.459,-198.425
0.364,0.352,0.164,4.700,98.083,-188.782
0.389,0.310,0.133,-6.104,100.159,-184.692
0.429,0.260,0.092,-20.386,101.196,-185.852
0.462,0.200,0.050,-35.217,100.220,-188.354
0.486,0.141,0.008,-47.668,96.436,-189.148
0.487,0.090,-0.018,-55.542,90.210,-186.646
0.514,0.035,-0.035,-58.655,82.520,-181.824
0.533,-0.022,-0.034,-57.739,74.036,-175.537
0.561,-0.082,-0.025,-55.603,64.270,-167.297
0.572,-0.150,0.004,-54.626,55.664,-156.921
0.540,-0.214,0.040,-57.678,48.706,-146.240
0.532,-0.272,0.072,-65.613,44.434,-136.414
0.544,-0.346,0.095,-77.698,40.405,-126.953
0.552,-0.450,0.127,-92.529,34.180,-120.850
0.554,-0.592,0.196,-110.229,25.391,-122.253
0.544,-0.781,0.297,-133.911,14.343,-128.662
0.550,-0.985,0.409,-168.823,3.235,-133.972
0.527,-1.196,0.528,-214.844,-2.563,-133.118
0.401,-1.349,0.672,-264.465,-1.831,-125.183
0.275,-1.481,0.813,-311.829,7.568,-104.004
0.195,-1.614,0.911,-353.149,23.682,-70.313
0.186,-1.732,0.992,-383.728,47.668,-28.320
0.103,-1.695,1.047,-397.888,78.186,20.691
0.010,-1.623,1.096,-387.390,111.145,74.768
-0.015,-1.493,1.106,-338.623,144.104,125.916
-0.330,-1.265,1.100,-218.567,185.120,174.683
-0.603,-1.098,0.979,-39.368,234.497,239.990
-0.746,-0.928,0.781,125.977,267.151,318.359
-0.946,-0.511,0.627,223.633,277.832,403.870
-1.129,0.079,0.490,256.287,282.654,495.911
-1.365,0.823,0.299,246.643,291.321,583.130
-1.513,1.615,0.049,224.731,300.232,639.709
-1.480,2.297,-0.229,209.900,293.884,646.118
-1.399,2.802,-0.437,191.223,266.907,599.915
-1.332,3.089,-0.542,148.071,221.436,513.611
-1.199,3.168,-0.584,67.139,165.771,408.020
-1.094,3.115,-0.573,-46.936,119.263,308.716
-1.056,3.008,-0.573,-154.663,101.318,234.802
-0.971,2.916,-0.667,-212.036,103.271,185.303
-0.869,2.786,-0.782,-201.416,111.206,146.606
-0.769,2.619,-0.913,-149.536,120.972,115.784
-0.716,2.507,-1.088,-110.474,130.249,92.834
-0.654,2.434,-1.248,-99.243,134.277,75.500
-0.643,2.414,-1.367,-101.257,129.761,61.584
-0.642,2.410,-1.459,-102.478,122.559,48.767
-0.650,2.397,-1.511,-93.689,110.901,31.555
-0.646,2.381,-1.546,-79.529,96.130,14.160
-0.619,2.377,-1.570,-73.303,81.421,-0.977
-0.601,2.363,-1.553,-79.468,63.904,-17.639
-0.573,2.318,-1.491,-94.666,42.725,-39.490
-0.529,2.221,-1.414,-111.267,22.827,-64.514
-0.473,2.060,-1.312,-120.178,6.592,-91.064
-0.427,1.880,-1.195,-118.530,-6.470,-115.417
-0.364,1.685,-1.080,-111.145,-15.381,-136.230
-0.303,1.502,-0.995,-101.318,-19.531,-153.503
-0.284,1.321,-0.906,-91.064,-21.790,-168.030
-0.242,1.170,-0.851,-83.984,-22.644,-178.772
-0.189,1.028,-0.807,-79.346,-23.254,-184.937
-0.119,0.913,-0.745,-76.355,-25.391,-187.866
-0.181,0.843,-0.673,-81.787,-29.236,-191.833
-0.097,0.728,-0.639,-95.398,-27.283,-196.106
-0.111,0.629,-0.601,-108.521,-27.100,-194.519
-0.048,0.543,-0.573,-120.361,-28.137,-192.322
-0.054,0.449,-0.529,-129.822,-31.189,-187.073
0.014,0.340,-0.497,-138.306,-31.006,-179.199
0.086,0.262,-0.476,-148.743,-30.701,-170.044
0.042,0.203,-0.452,-156.555,-29.724,-161.011
0.098,0.135,-0.453,-157.715,-24.536,-154.358
0.109,0.055,-0.458,-153.137,-20.264,-147.766
0.130,-0.015,-0.470,-144.104,-17.944,-140.747
0.147,-0.072,-0.483,-130.493,-15.869,-132.080
0.162,-0.134,-0.486,-114.868,-14.099,-122.498
0.167,-0.182,-0.488,-101.624,-11.902,-111.389
0.167,-0.203,-0.497,-92.896,-8.545,-99.792
0.127,-0.215,-0.511,-87.769,-5.859,-88.074
0.136,-0.277,-0.548,-85.693,-2.808,-77.576
0.150,-0.349,-0.577,-86.670,-2.258,-65.308
0.135,-0.395,-0.596,-91.003,-5.493,-53.589
0.135,-0.424,-0.618,-93.079,-9.277,-39.368
0.112,-0.445,-0.622,-88.257,-13.428,-23.315
0.112,-0.491,-0.609,-77.148,-17.212,-9.338
0.107,-0.538,-0.585,-65.979,-20.447,3.479
0.085,-0.614,-0.561,-59.875,-20.447,18.616
0.046,-0.694,-0.552,-63.782,-16.235,36.560
0.027,-0.762,-0.601,-78.796,-10.559,57.312
-0.066,-0.839,-0.669,-93.140,-8.423,80.078
-0.078,-0.990,-0.764,-99.243,-10.498,101.074
-0.104,-1.197,-0.851,-99.426,-19.226,122.681
-0.094,-1.470,-0.901,-94.910,-31.311,149.841
-0.229,-1.748,-0.895,-84.106,-44.983,182.434
-0.338,-2.048,-0.873,-63.416,-51.758,223.328
