aX,aY,aZ,gX,gY,gZ
-0.731,-0.743,0.106,-130.371,138.123,-559.570
-0.585,-0.911,0.120,-125.366,107.056,-518.188
-0.420,-1.031,0.166,-132.874,82.581,-471.069
-0.214,-1.107,0.221,-152.649,61.096,-422.913
-0.039,-1.120,0.289,-176.819,41.931,-381.470
0.072,-1.088,0.363,-194.824,25.330,-347.046
0.169,-1.099,0.442,-196.777,14.343,-318.115
0.260,-1.152,0.485,-181.458,13.794,-295.532
0.337,-1.204,0.461,-154.175,25.330,-271.973
0.427,-1.258,0.377,-116.638,43.274,-242.798
0.509,-1.284,0.278,-72.754,60.547,-207.642
0.567,-1.222,0.185,-29.724,71.228,-164.795
0.609,-1.073,0.110,7.751,71.777,-116.821
0.662,-0.890,0.067,35.889,63.904,-74.829
0.729,-0.698,0.067,52.002,52.551,-45.715
0.753,-0.527,0.100,54.504,42.114,-27.588
0.754,-0.385,0.134,44.373,36.072,-17.700
0.785,-0.291,0.149,27.588,35.706,-15.686
0.804,-0.228,0.134,10.559,38.208,-18.066
0.813,-0.202,0.109,-2.747,40.161,-23.010
0.818,-0.215,0.088,-8.423,40.344,-28.137
0.822,-0.244,0.061,-7.690,39.734,-31.433
0.824,-0.257,0.033,-2.197,40.222,-28.442
0.820,-0.254,0.008,5.798,41.382,-20.203
0.837,-0.236,-0.013,14.282,40.894,-11.719
0.841,-0.201,-0.017,20.508,36.682,-4.761
0.847,-0.167,-0.022,24.963,33.142,1.465
0.856,-0.149,-0.032,27.405,32.532,5.554
0.856,-0.145,-0.039,27.222,33.081,8.240
0.856,-0.139,-0.055,23.926,33.264,10.681
0.854,-0.111,-0.066,20.325,33.325,15.381
0.860,-0.063,-0.080,17.212,33.447,22.095
0.864,-0.015,-0.089,16.052,32.532,28.625
0.872,0.018,-0.091,16.602,31.555,32.349
0.890,0.040,-0.101,17.700,31.738,32.959
0.900,0.053,-0.117,18.250,32.043,32.104
0.916,0.064,-0.134,19.714,33.020,32.043
0.924,0.078,-0.147,21.484,33.142,32.166
0.927,0.100,-0.157,24.109,33.203,33.508
0.935,0.127,-0.163,28.015,32.410,34.973
0.949,0.152,-0.159,33.936,30.579,35.278
0.952,0.174,-0.146,40.710,27.588,33.447
0.946,0.190,-0.131,48.523,25.818,30.640
0.945,0.187,-0.120,56.091,25.635,26.550
0.937,0.167,-0.098,62.500,25.513,21.667
0.922,0.143,-0.074,66.101,25.391,17.639
0.909,0.126,-0.057,67.688,25.818,14.648
0.902,0.104,-0.044,68.176,26.245,11.963
0.901,0.073,-0.031,69.946,27.405,9.888
0.918,0.038,-0.028,72.021,30.212,8.301
0.928,-0.002,-0.035,74.524,34.424,8.057
0.936,-0.044,-0.050,78.308,39.185,8.911
0.948,-0.086,-0.067,83.496,43.945,11.292
0.978,-0.125,-0.092,88.684,47.058,16.113
0.964,-0.152,-0.102,93.079,48.767,23.682
0.936,-0.173,-0.111,94.910,50.232,30.884
0.898,-0.187,-0.115,93.811,51.575,38.757
0.858,-0.183,-0.124,89.966,52.917,48.706
0.825,-0.151,-0.148,85.815,54.138,61.096
0.809,-0.101,-0.174,83.984,53.711,74.463
0.800,-0.046,-0.187,86.914,51.331,87.463
0.798,0.002,-0.179,93.262,46.631,97.961
0.809,0.038,-0.161,100.403,41.992,105.835
0.822,0.071,-0.139,106.018,38.818,111.877
0.838,0.108,-0.125,109.619,38.513,117.065
0.826,0.144,-0.115,111.511,40.344,121.094
0.809,0.186,-0.128,113.586,43.823,124.878
0.777,0.235,-0.152,117.554,47.607,129.028
0.747,0.283,-0.174,124.084,48.523,133.240
0.722,0.333,-0.193,132.812,44.922,139.526
0.363,0.858,-0.143,130.493,21.118,83.374
0.328,0.845,-0.172,135.437,19.958,79.346
0.318,0.823,-0.195,141.907,15.198,75.806
0.307,0.794,-0.203,146.240,8.972,70.984
0.303,0.752,-0.203,146.606,0.061,65.857
0.260,0.692,-0.210,140.869,-8.789,61.157
0.238,0.636,-0.221,126.953,-15.198,56.580
0.201,0.572,-0.254,102.234,-21.118,51.758
0.164,0.497,-0.310,70.496,-27.893,48.035
0.125,0.407,-0.371,33.142,-37.476,44.067
0.073,0.323,-0.440,-9.216,-50.110,41.748
0.057,0.203,-0.505,-58.228,-65.002,43.213
